"year","month","pagecount_all_views","pagecount_desktop_views","pagecount_mobile_views","pageview_all_views","pageview_desktop_views","pageview_mobile_views"
"2015","07","3254472695","3254472695","3254472695","0","0","0"
"2015","08","3268487582","3268487582","3268487582","0","0","0"
"2015","09","3172429827","3172429827","3172429827","0","0","0"
"2015","10","3246082505","3246082505","3246082505","0","0","0"
"2015","11","3218234512","3218234512","3218234512","0","0","0"
"2015","12","3387411863","3387411863","3387411863","0","0","0"
"2016","01","3739628742","3739628742","3739628742","0","0","0"
"2016","02","3333231392","3333231392","3333231392","0","0","0"
"2016","03","3419853636","3419853636","3419853636","0","0","0"
"2016","04","3301385124","3301385124","3301385124","0","0","0"
"2016","05","3418435805","3418435805","3418435805","0","0","0"
"2016","06","3372618063","3372618063","3372618063","0","0","0"
"2016","07","3500661121","3500661121","3500661121","0","0","0"
"2016","08","0","0","0","3418646794","3418646794","6837293588"
"2016","09","0","0","0","3310247842","3310247842","6620495684"
"2016","10","0","0","0","3442109005","3442109005","6884218010"
"2016","11","0","0","0","3507421156","3507421156","7014842312"
"2016","12","0","0","0","3647567822","3647567822","7295135644"
"2017","01","0","0","0","4020148351","4020148351","8040296702"
"2017","02","0","0","0","3522702265","3522702265","7045404530"
"2017","03","0","0","0","3719395296","3719395296","7438790592"
"2017","04","0","0","0","3524571150","3524571150","7049142300"
"2017","05","0","0","0","3567882051","3567882051","7135764102"
"2017","06","0","0","0","3404097346","3404097346","6808194692"
"2017","07","0","0","0","3600941034","3600941034","7201882068"
"2017","08","0","0","0","3502234506","3502234506","7004469012"
"2017","09","0","0","0","3416989181","3416989181","6833978362"
"2017","10","0","0","0","3557540057","3557540057","7115080114"
"2017","11","0","0","0","3557058773","3557058773","7114117546"
"2017","12","0","0","0","3709128989","3709128989","7418257978"
"2018","01","0","0","0","4129514528","4129514528","8259029056"
"2018","02","0","0","0","3613097618","3613097618","7226195236"
"2018","03","0","0","0","3928081419","3928081419","7856162838"
"2018","04","0","0","0","3807903935","3807903935","7615807870"
"2018","05","0","0","0","3961293568","3961293568","7922587136"
"2018","06","0","0","0","3852929134","3852929134","7705858268"
"2018","07","0","0","0","4131876847","4131876847","8263753694"
"2018","08","0","0","0","4055921056","4055921056","8111842112"
"2018","09","0","0","0","3853821210","3853821210","7707642420"
"2018","10","0","0","0","3948395290","3948395290","7896790580"
"2018","11","0","0","0","3909638746","3909638746","7819277492"
"2018","12","0","0","0","4154561156","4154561156","8309122312"
"2019","01","0","0","0","4455807733","4455807733","8911615466"
"2019","02","0","0","0","3894531307","3894531307","7789062614"
"2019","03","0","0","0","4272319868","4272319868","8544639736"
"2019","04","0","0","0","4133563063","4133563063","8267126126"
"2019","05","0","0","0","4278706204","4278706204","8557412408"
"2019","06","0","0","0","4153124189","4153124189","8306248378"
"2019","07","0","0","0","4416225801","4416225801","8832451602"
"2019","08","0","0","0","4390689571","4390689571","8781379142"
"2019","09","0","0","0","4304039321","4304039321","8608078642"
"2019","10","0","0","0","4369199633","4369199633","8738399266"
"2019","11","0","0","0","4333221742","4333221742","8666443484"
"2019","12","0","0","0","4405350928","4405350928","8810701856"
"2020","01","0","0","0","4672173634","4672173634","9344347268"
"2020","02","0","0","0","4275204671","4275204671","8550409342"
"2020","03","0","0","0","4537280755","4537280755","9074561510"
"2020","04","0","0","0","5332822293","5332822293","10665644586"
"2020","05","0","0","0","5089055354","5089055354","10178110708"
"2020","06","0","0","0","4552042163","4552042163","9104084326"
"2020","07","0","0","0","4675166579","4675166579","9350333158"
"2014","10","3091546685","3091546685","3091546685","0","0","0"
"2014","11","3027489668","3027489668","3027489668","0","0","0"
"2014","12","3278950021","3278950021","3278950021","0","0","0"
"2015","01","3485302091","3485302091","3485302091","0","0","0"
"2015","02","3091534479","3091534479","3091534479","0","0","0"
"2015","03","3330832588","3330832588","3330832588","0","0","0"
"2015","04","3222089917","3222089917","3222089917","0","0","0"
"2015","05","3334069483","3334069483","3334069483","0","0","0"
"2015","06","3038162463","3038162463","3038162463","0","0","0"
"2015","07","3254472695","3254472695","3254472695","0","0","0"
"2015","08","3268487582","3268487582","3268487582","0","0","0"
"2015","09","3172429827","3172429827","3172429827","0","0","0"
"2015","10","3246082505","3246082505","3246082505","0","0","0"
"2015","11","3218234512","3218234512","3218234512","0","0","0"
"2015","12","3387411863","3387411863","3387411863","0","0","0"
"2016","01","3739628742","3739628742","3739628742","0","0","0"
"2016","02","3333231392","3333231392","3333231392","0","0","0"
"2016","03","3419853636","3419853636","3419853636","0","0","0"
"2016","04","3301385124","3301385124","3301385124","0","0","0"
"2016","05","3418435805","3418435805","3418435805","0","0","0"
"2016","06","3372618063","3372618063","3372618063","0","0","0"
"2016","07","3500661121","3500661121","3500661121","0","0","0"
"2016","08","0","0","0","3418646794","3418646794","6837293588"
"2016","09","0","0","0","3310247842","3310247842","6620495684"
"2016","10","0","0","0","3442109005","3442109005","6884218010"
"2016","11","0","0","0","3507421156","3507421156","7014842312"
"2016","12","0","0","0","3647567822","3647567822","7295135644"
"2017","01","0","0","0","4020148351","4020148351","8040296702"
"2017","02","0","0","0","3522702265","3522702265","7045404530"
"2017","03","0","0","0","3719395296","3719395296","7438790592"
"2017","04","0","0","0","3524571150","3524571150","7049142300"
"2017","05","0","0","0","3567882051","3567882051","7135764102"
"2017","06","0","0","0","3404097346","3404097346","6808194692"
"2017","07","0","0","0","3600941034","3600941034","7201882068"
"2017","08","0","0","0","3502234506","3502234506","7004469012"
"2017","09","0","0","0","3416989181","3416989181","6833978362"
"2017","10","0","0","0","3557540057","3557540057","7115080114"
"2017","11","0","0","0","3557058773","3557058773","7114117546"
"2017","12","0","0","0","3709128989","3709128989","7418257978"
"2018","01","0","0","0","4129514528","4129514528","8259029056"
"2018","02","0","0","0","3613097618","3613097618","7226195236"
"2018","03","0","0","0","3928081419","3928081419","7856162838"
"2018","04","0","0","0","3807903935","3807903935","7615807870"
"2018","05","0","0","0","3961293568","3961293568","7922587136"
"2018","06","0","0","0","3852929134","3852929134","7705858268"
"2018","07","0","0","0","4131876847","4131876847","8263753694"
"2018","08","0","0","0","4055921056","4055921056","8111842112"
"2018","09","0","0","0","3853821210","3853821210","7707642420"
"2018","10","0","0","0","3948395290","3948395290","7896790580"
"2018","11","0","0","0","3909638746","3909638746","7819277492"
"2018","12","0","0","0","4154561156","4154561156","8309122312"
"2019","01","0","0","0","4455807733","4455807733","8911615466"
"2019","02","0","0","0","3894531307","3894531307","7789062614"
"2019","03","0","0","0","4272319868","4272319868","8544639736"
"2019","04","0","0","0","4133563063","4133563063","8267126126"
"2019","05","0","0","0","4278706204","4278706204","8557412408"
"2019","06","0","0","0","4153124189","4153124189","8306248378"
"2019","07","0","0","0","4416225801","4416225801","8832451602"
"2019","08","0","0","0","4390689571","4390689571","8781379142"
"2019","09","0","0","0","4304039321","4304039321","8608078642"
"2019","10","0","0","0","4369199633","4369199633","8738399266"
"2019","11","0","0","0","4333221742","4333221742","8666443484"
"2019","12","0","0","0","4405350928","4405350928","8810701856"
"2020","01","0","0","0","4672173634","4672173634","9344347268"
"2020","02","0","0","0","4275204671","4275204671","8550409342"
"2020","03","0","0","0","4537280755","4537280755","9074561510"
"2020","04","0","0","0","5332822293","5332822293","10665644586"
"2020","05","0","0","0","5089055354","5089055354","10178110708"
"2020","06","0","0","0","4552042163","4552042163","9104084326"
"2020","07","0","0","0","4675166579","4675166579","9350333158"
"2014","10","3091546685","3091546685","3091546685","0","0","0"
"2014","11","3027489668","3027489668","3027489668","0","0","0"
"2014","12","3278950021","3278950021","3278950021","0","0","0"
"2015","01","3485302091","3485302091","3485302091","0","0","0"
"2015","02","3091534479","3091534479","3091534479","0","0","0"
"2015","03","3330832588","3330832588","3330832588","0","0","0"
"2015","04","3222089917","3222089917","3222089917","0","0","0"
"2015","05","3334069483","3334069483","3334069483","0","0","0"
"2015","06","3038162463","3038162463","3038162463","0","0","0"
"2015","07","3254472695","3254472695","3254472695","0","0","0"
"2015","08","3268487582","3268487582","3268487582","0","0","0"
"2015","09","3172429827","3172429827","3172429827","0","0","0"
"2015","10","3246082505","3246082505","3246082505","0","0","0"
"2015","11","3218234512","3218234512","3218234512","0","0","0"
"2015","12","3387411863","3387411863","3387411863","0","0","0"
"2016","01","3739628742","3739628742","3739628742","0","0","0"
"2016","02","3333231392","3333231392","3333231392","0","0","0"
"2016","03","3419853636","3419853636","3419853636","0","0","0"
"2016","04","3301385124","3301385124","3301385124","0","0","0"
"2016","05","3418435805","3418435805","3418435805","0","0","0"
"2016","06","3372618063","3372618063","3372618063","0","0","0"
"2016","07","3500661121","3500661121","3500661121","0","0","0"
"2016","08","0","0","0","3418646794","3418646794","6837293588"
"2016","09","0","0","0","3310247842","3310247842","6620495684"
"2016","10","0","0","0","3442109005","3442109005","6884218010"
"2016","11","0","0","0","3507421156","3507421156","7014842312"
"2016","12","0","0","0","3647567822","3647567822","7295135644"
"2017","01","0","0","0","4020148351","4020148351","8040296702"
"2017","02","0","0","0","3522702265","3522702265","7045404530"
"2017","03","0","0","0","3719395296","3719395296","7438790592"
"2017","04","0","0","0","3524571150","3524571150","7049142300"
"2017","05","0","0","0","3567882051","3567882051","7135764102"
"2017","06","0","0","0","3404097346","3404097346","6808194692"
"2017","07","0","0","0","3600941034","3600941034","7201882068"
"2017","08","0","0","0","3502234506","3502234506","7004469012"
"2017","09","0","0","0","3416989181","3416989181","6833978362"
"2017","10","0","0","0","3557540057","3557540057","7115080114"
"2017","11","0","0","0","3557058773","3557058773","7114117546"
"2017","12","0","0","0","3709128989","3709128989","7418257978"
"2018","01","0","0","0","4129514528","4129514528","8259029056"
"2018","02","0","0","0","3613097618","3613097618","7226195236"
"2018","03","0","0","0","3928081419","3928081419","7856162838"
"2018","04","0","0","0","3807903935","3807903935","7615807870"
"2018","05","0","0","0","3961293568","3961293568","7922587136"
"2018","06","0","0","0","3852929134","3852929134","7705858268"
"2018","07","0","0","0","4131876847","4131876847","8263753694"
"2018","08","0","0","0","4055921056","4055921056","8111842112"
"2018","09","0","0","0","3853821210","3853821210","7707642420"
"2018","10","0","0","0","3948395290","3948395290","7896790580"
"2018","11","0","0","0","3909638746","3909638746","7819277492"
"2018","12","0","0","0","4154561156","4154561156","8309122312"
"2019","01","0","0","0","4455807733","4455807733","8911615466"
"2019","02","0","0","0","3894531307","3894531307","7789062614"
"2019","03","0","0","0","4272319868","4272319868","8544639736"
"2019","04","0","0","0","4133563063","4133563063","8267126126"
"2019","05","0","0","0","4278706204","4278706204","8557412408"
"2019","06","0","0","0","4153124189","4153124189","8306248378"
"2019","07","0","0","0","4416225801","4416225801","8832451602"
"2019","08","0","0","0","4390689571","4390689571","8781379142"
"2019","09","0","0","0","4304039321","4304039321","8608078642"
"2019","10","0","0","0","4369199633","4369199633","8738399266"
"2019","11","0","0","0","4333221742","4333221742","8666443484"
"2019","12","0","0","0","4405350928","4405350928","8810701856"
"2020","01","0","0","0","4672173634","4672173634","9344347268"
"2020","02","0","0","0","4275204671","4275204671","8550409342"
"2020","03","0","0","0","4537280755","4537280755","9074561510"
"2020","04","0","0","0","5332822293","5332822293","10665644586"
"2020","05","0","0","0","5089055354","5089055354","10178110708"
"2020","06","0","0","0","4552042163","4552042163","9104084326"
"2020","07","0","0","0","4675166579","4675166579","9350333158"
"2014","10","3091546685","3091546685","3091546685","0","0","0"
"2014","11","3027489668","3027489668","3027489668","0","0","0"
"2014","12","3278950021","3278950021","3278950021","0","0","0"
"2015","01","3485302091","3485302091","3485302091","0","0","0"
"2015","02","3091534479","3091534479","3091534479","0","0","0"
"2015","03","3330832588","3330832588","3330832588","0","0","0"
"2015","04","3222089917","3222089917","3222089917","0","0","0"
"2015","05","3334069483","3334069483","3334069483","0","0","0"
"2015","06","3038162463","3038162463","3038162463","0","0","0"
